VULNERABILITY-affects-TARGET_COMPONENT,A
TOOL_USED-exploits-VULNERABILITY,B
TOOL_USED-detects-VULNERABILITY,C
TOOL_USED-targets-TARGET_COMPONENT,D
LEARNING_RESOURCE-discusses-VULNERABILITY,E
LEARNING_RESOURCE-covers-TOOL_USED,F
LEARNING_RESOURCE-discusses-TARGET_COMPONENT,G
LEARNING_RESOURCE-explains-MITIGATION_STRATEGY,H
MITIGATION_STRATEGY-prevents-VULNERABILITY,I
MITIGATION_STRATEGY-applied-to-TARGET_COMPONENT,J
